PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Suraci, JP; Gaynor, KM; Allen, ML; Alexander, P; Brashares, JS; Cendejas-Zarelli, S; Crooks, K; Elbroch, LM; Forrester, T; Green, AM; Haight, J; Harris, NC; Hebblewhite, M; Isbell, F; Johnston, B; Kays, R; Lendrum, PE; Lewis, JS; McInturff, A; McShea, W; Murphy, TW; Palmer, MS; Parsons, A; Parsons, MA; Pendergast, ME; Pekins, C; Prugh, LR; Sager-Fradkin, KA; Schuttler, S; Sekercioglu, CH; Shepherd, B; Whipple, L; Whittington, J; Wittemyer, G; Wilmers, CC				Suraci, Justin P.; Gaynor, Kaitlyn M.; Allen, Maximilian L.; Alexander, Peter; Brashares, Justin S.; Cendejas-Zarelli, Sara; Crooks, Kevin; Elbroch, L. Mark; Forrester, Tavis; Green, Austin M.; Haight, Jeffrey; Harris, Nyeema C.; Hebblewhite, Mark; Isbell, Forest; Johnston, Barbara; Kays, Roland; Lendrum, Patrick E.; Lewis, Jesse S.; McInturff, Alex; McShea, William; Murphy, Thomas W.; Palmer, Meredith S.; Parsons, Arielle; Parsons, Mitchell A.; Pendergast, Mary E.; Pekins, Charles; Prugh, Laura R.; Sager-Fradkin, Kimberly A.; Schuttler, Stephanie; Sekercioglu, Cagan H.; Shepherd, Brenda; Whipple, Laura; Whittington, Jesse; Wittemyer, George; Wilmers, Christopher C.			Disturbance type and species life history predict mammal responses to humans	GLOBAL CHANGE BIOLOGY				Article									[Suraci, Justin P.; Wilmers, Christopher C.] Univ Calif Santa Cruz, Ctr Integrated Spatial Res, Santa Cruz, CA 95064 USA; [Gaynor, Kaitlyn M.] Univ Calif Santa Barbara, Natl Ctr Ecol Anal & Synth, Santa Barbara, CA 93106 USA; [Allen, Maximilian L.] Univ Illinois, Illinois Nat Hist Survey, Champaign, IL 61820 USA; [Allen, Maximilian L.; Whipple, Laura] Univ Illinois, Dept Nat Resources & Environm Sci, Urbana, IL 61801 USA; [Alexander, Peter] Craighead Beringia South, Kelly, WY USA; [Brashares, Justin S.] Univ Calif Berkeley, Dept Environm Sci Policy & Management, Berkeley, CA 94720 USA; [Cendejas-Zarelli, Sara; Sager-Fradkin, Kimberly A.] Lower Elwha Klallam Tribe, Port Angeles, WA USA; [Crooks, Kevin; Wittemyer, George] Colorado State Univ, Dept Fish Wildlife & Conservat Biol, Ft Collins, CO 80523 USA; [Elbroch, L. Mark] Panthera, New York, NY USA; [Forrester, Tavis] Oregon Dept Fish & Wildlife, La Grande, OR USA; [Green, Austin M.; Sekercioglu, Cagan H.] Univ Utah, Sch Biol Sci, Salt Lake City, UT USA; [Haight, Jeffrey] Arizona State Univ, Sch Life Sci, Tempe, AZ USA; [Harris, Nyeema C.] Univ Michigan, Ecol & Evolutionary Biol, Ann Arbor, MI 48109 USA; [Hebblewhite, Mark] Univ Montana, Dept Ecosyst & Conservat Sci, Missoula, MT 59812 USA; [Isbell, Forest] Univ Minnesota, Dept Ecol Evolut & Behav, St Paul, MN 55108 USA; [Johnston, Barbara; Whittington, Jesse] Pk Canada Agcy, Banff, AB, Canada; [Kays, Roland; Schuttler, Stephanie] North Carolina Museum Nat Sci, Raleigh, NC USA; [Kays, Roland; Parsons, Arielle] North Carolina State Univ, Dept Forestry & Environm Resources, Raleigh, NC 27695 USA; [Lendrum, Patrick E.] Northern Great Plains Program, World Wildlife Fund, Bozeman, MT USA; [Lewis, Jesse S.] Arizona State Univ, Coll Integrat Sci & Arts, Mesa, AZ USA; [McInturff, Alex] Univ Calif Santa Barbara, Santa Barbara, CA 93106 USA; [McShea, William] Smithsonian Conservat Biol Inst, Front Royal, VA USA; [Murphy, Thomas W.] Edmonds Coll, Lynnwood, WA USA; [Palmer, Meredith S.] Princeton Univ, Dept Ecol & Evolut Biol, Princeton, NJ 08544 USA; [Parsons, Mitchell A.] Utah State Univ, Wildland Resources Dept, Logan, UT 84322 USA; [Pendergast, Mary E.] Wild Utah Project, Salt Lake City, UT USA; [Pekins, Charles] US Army Garrison, Ft Hood Nat Resources Management Branch, Ft Hood, TX USA; [Prugh, Laura R.] Univ Washington, Sch Environm & Forest Sci, Seattle, WA 98195 USA; [Sekercioglu, Cagan H.] Koc Univ, Dept Mol Biol & Genet, Istanbul, Turkey; [Shepherd, Brenda] Pk Canada Agcy, Jasper, AB, Canada		Suraci, JP (corresponding author), Univ Calif Santa Cruz, Ctr Integrated Spatial Res, Santa Cruz, CA 95064 USA.; Suraci, JP (corresponding author), Conservat Sci Partners Inc, 11050 Pioneer Trail,Suite 202, Truckee, CA 96161 USA.	justin.suraci@gmail.com								9	9											AUG	2021	27	16					3718	3731		10.1111/gcb.15650	http://dx.doi.org/10.1111/gcb.15650		MAY 2021										2022-09-28	WOS:000652281400001
J	Sunde, P; Collet, S; Nowak, C; Thomsen, PF; Hansen, MM; Schulz, B; Matzen, J; Michler, FU; Vedel-Smith, C; Olsen, K				Sunde, Peter; Collet, Sebastian; Nowak, Carsten; Thomsen, Philip Francis; Hansen, Michael Moller; Schulz, Bjoern; Matzen, Jens; Michler, Frank-Uwe; Vedel-Smith, Christina; Olsen, Kent			Where have all the young wolves gone? Traffic and cryptic mortality create a wolf population sink in Denmark and northernmost Germany	CONSERVATION LETTERS				Letter									[Sunde, Peter] Aarhus Univ, Dept Biosci, Grenavej 14, DK-8410 Ronde, Denmark; [Collet, Sebastian; Nowak, Carsten] Senckenberg Res Inst, Gelnhausen, Germany; [Collet, Sebastian; Nowak, Carsten] Nat Hist Museum Frankfurt, Conservat Genet Sect, Gelnhausen, Germany; [Thomsen, Philip Francis; Hansen, Michael Moller] Aarhus Univ, Dept Biol, Aarhus C, Denmark; [Schulz, Bjoern] Stiftung Nat Schutz Schleswig Holstein, Molfsee, Germany; [Matzen, Jens] Stiftung Wildtiere Norden, Molfsee, Germany; [Michler, Frank-Uwe] Eberswalde Univ Sustainable Dev, Fac Forest & Environm, Eberswalde, Germany; [Vedel-Smith, Christina; Olsen, Kent] Nat Hist Museum Aarhus, Aarhus C, Denmark		Sunde, P (corresponding author), Aarhus Univ, Dept Biosci, Grenavej 14, DK-8410 Ronde, Denmark.	psu@bios.au.dk								7	7											SEP	2021	14	5							e12812	10.1111/conl.12812	http://dx.doi.org/10.1111/conl.12812		MAY 2021										2022-09-28	WOS:000651082800001
J	Louchouarn, NX; Santiago-Avila, FJ; Parsons, DR; Treves, A				Louchouarn, Naomi X.; Santiago-Avila, Francisco J.; Parsons, David R.; Treves, Adrian			Evaluating how lethal management affects poaching of Mexican wolves	ROYAL SOCIETY OPEN SCIENCE				Article									[Louchouarn, Naomi X.; Santiago-Avila, Francisco J.; Treves, Adrian] Univ Wisconsin, Nelson Inst Environm Studies, Madison, WI 53715 USA; [Santiago-Avila, Francisco J.; Parsons, David R.; Treves, Adrian] Project Coyote Sci Advisory Board, Larkspur, CA USA		Louchouarn, NX (corresponding author), Univ Wisconsin, Nelson Inst Environm Studies, Madison, WI 53715 USA.	louchouarn@wisc.edu								6	6											MAR 10	2021	8	3							200330	10.1098/rsos.200330	http://dx.doi.org/10.1098/rsos.200330												2022-09-28	WOS:000627840700001
J	Darimont, CT; Hall, H; Eckert, L; Mihalik, I; Artelle, K; Treves, A; Paquet, PC				Darimont, Chris T.; Hall, Hannah; Eckert, Lauren; Mihalik, Ilona; Artelle, Kyle; Treves, Adrian; Paquet, Paul C.			Large carnivore hunting and the social license to hunt	CONSERVATION BIOLOGY				Article									[Darimont, Chris T.; Hall, Hannah; Eckert, Lauren; Mihalik, Ilona; Artelle, Kyle; Paquet, Paul C.] Univ Victoria, Dept Geog, POB 1700, Victoria, BC V8W 2Y2, Canada; [Darimont, Chris T.; Hall, Hannah; Eckert, Lauren; Mihalik, Ilona; Artelle, Kyle; Paquet, Paul C.] Raincoast Conservat Fdn, POB 2429, Sidney, BC V8L 3Y3, Canada; [Treves, Adrian] Univ Wisconsin, Nelson Inst Environm Studies, 550 North Pk St, Madison, WI 53706 USA		Darimont, CT (corresponding author), Univ Victoria, Dept Geog, POB 1700, Victoria, BC V8W 2Y2, Canada.; Darimont, CT (corresponding author), Raincoast Conservat Fdn, POB 2429, Sidney, BC V8L 3Y3, Canada.	darimont@uvic.ca								8	8											AUG	2021	35	4					1111	1119		10.1111/cobi.13657	http://dx.doi.org/10.1111/cobi.13657		FEB 2021										2022-09-28	WOS:000614214900001
J	Liberg, O; Suutarinen, J; Akesson, M; Andren, H; Wabakken, P; Wikenros, C; Sand, H				Liberg, Olof; Suutarinen, Johanna; Akesson, Mikael; Andren, Henrik; Wabakken, Petter; Wikenros, Camilla; Sand, Hakan			Response to: "Acknowledging Andean Condor predation on livestock, a first step in addressing the human-condor conflict: A commentary to Estrada Pacheco et al 2020"	BIOLOGICAL CONSERVATION				Letter									[Liberg, Olof; Suutarinen, Johanna; Akesson, Mikael; Andren, Henrik; Wikenros, Camilla; Sand, Hakan] Swedish Univ Agr Sci, Dept Ecol, Grimso Wildlife Res Stn, SE-73091 Riddarhyttan, Sweden; [Wabakken, Petter] Inland Norway Univ Appl Sci, Fac Appl Ecol & Agr Sci, NO-2480 Koppang, Norway		Liberg, O (corresponding author), Swedish Univ Agr Sci, Dept Ecol, Grimso Wildlife Res Stn, SE-73091 Riddarhyttan, Sweden.	olof.liberg@slu.se								0	0											SEP	2020	249								108644	10.1016/j.biocon.2020.108644	http://dx.doi.org/10.1016/j.biocon.2020.108644												2022-09-28	WOS:000567872700020
J	Treves, A; Louchouarn, NX; Santiago-avila, FJ				Treves, Adrian; Louchouarn, Naomi X.; Santiago-Avila, Francisco J.			Modelling concerns confound evaluations of legal wolf-killing	BIOLOGICAL CONSERVATION				Letter									[Treves, Adrian; Louchouarn, Naomi X.; Santiago-Avila, Francisco J.] Univ Wisconsin, Nelson Inst Environm Studies, 30A Sci Hall,550 North Pk St, Madison, WI 53706 USA		Treves, A (corresponding author), Univ Wisconsin, Nelson Inst Environm Studies, 30A Sci Hall,550 North Pk St, Madison, WI 53706 USA.	atreves@wisc.edu								4	4											SEP	2020	249								108643	10.1016/j.biocon.2020.108643	http://dx.doi.org/10.1016/j.biocon.2020.108643												2022-09-28	WOS:000567872700023
J	Santiago-Avila, FJ; Chappell, RJ; Treves, A				Santiago-Avila, Francisco J.; Chappell, Richard J.; Treves, Adrian			Liberalizing the killing of endangered wolves was associated with more disappearances of collared individuals in Wisconsin, USA	SCIENTIFIC REPORTS				Article									[Santiago-Avila, Francisco J.; Treves, Adrian] Univ Wisconsin, Nelson Inst Environm Studies, Madison, WI 53706 USA; [Chappell, Richard J.] Univ Wisconsin, Dept Biostat & Med Informat, Madison, WI USA		Santiago-Avila, FJ (corresponding author), Univ Wisconsin, Nelson Inst Environm Studies, Madison, WI 53706 USA.	santiagoavil@wisc.edu								8	8											AUG 17	2020	10	1							13881	10.1038/s41598-020-70837-x	http://dx.doi.org/10.1038/s41598-020-70837-x												2022-09-28	WOS:000563538600004
J	Roda, F; Sentilles, J; Molins, C; Duchamp, C; Hansen, E; Jean, N				Roda, Fabrice; Sentilles, Jerome; Molins, Caroline; Duchamp, Christophe; Hansen, Eric; Jean, Nicolas			Wolf scat detection dog improves wolf genetic monitoring in new French colonized areas	JOURNAL OF VERTEBRATE BIOLOGY				Article									[Roda, Fabrice] Off Francais Biodiversite, Serv Dept Var, Draguignan, France; [Sentilles, Jerome] Off Francais Biodiversite, Direct Rech & Appui Sci, Unite Predateurs & Animaux Depredateurs & Exot, Equipe Ours, Villeneuve De Riviere, France; [Molins, Caroline] Off Francais Biodiversite, Direct Rech & Appui Sci, Unite Petite Faune Sedentaire & Especes Outre Mer, Gap, Hautes Alpes, France; [Duchamp, Christophe] Off Francais Biodiversite, Direct Rech & Appui Sci, Unite Predateurs & Animaux Depredateurs & Exot, Equipe Loup Lynx, Gap, Hautes Alpes, France; [Roda, Fabrice; Hansen, Eric] Off Francais Biodiversite, Direct Interreg Provence Alpes Cote dAzur & Corse, Les Jardins Duranne, Batiment A, Aix En Provence, France; [Roda, Fabrice; Jean, Nicolas] Off Francais Biodiversite, Direct Grands Predateurs Terrestres, Gap, Hautes Alpes, France		Roda, F (corresponding author), Off Francais Biodiversite, Serv Dept Var, Draguignan, France.	roda_fabrice@yahoo.fr; jerome.sentilles@ofb.gouv.fr; caroline.molins@ofb.gouv.fr; christophe.duchamp@ofb.gouv.fr; eric.hansen@ofb.gouv.fr; nicolas.jean@ofb.gouv.fr								4	4											AUG	2020	69	3							20102	10.25225/jvb.20102	http://dx.doi.org/10.25225/jvb.20102												2022-09-28	WOS:000620942600007
J	Casola, WR; Rushing, J; Futch, S; Vayer, V; Lawson, DF; Cavalieri, MJ; Larson, LR; Peterson, MN				Casola, William R.; Rushing, Jaclyn; Futch, Sara; Vayer, Victoria; Lawson, Danielle F.; Cavalieri, Michelle J.; Larson, Lincoln R.; Peterson, M. Nils			How do YouTube videos impact tolerance of wolves?	HUMAN DIMENSIONS OF WILDLIFE				Article									[Casola, William R.; Peterson, M. Nils] North Carolina State Univ, Fisheries Wildlife & Conservat Biol Program, Raleigh, NC 27502 USA; [Rushing, Jaclyn; Futch, Sara; Vayer, Victoria; Lawson, Danielle F.; Larson, Lincoln R.] North Carolina State Univ, Dept Pk Recreat & Tourism Management, Raleigh, NC 27502 USA; [Cavalieri, Michelle J.] North Carolina State Univ, Dept Biol Sci, Raleigh, NC 27502 USA		Casola, WR (corresponding author), North Carolina State Univ, Fisheries Wildlife & Conservat Biol Program, Raleigh, NC 27502 USA.	wrcasola@ncsu.edu								6	6											NOV 1	2020	25	6					531	543		10.1080/10871209.2020.1773582	http://dx.doi.org/10.1080/10871209.2020.1773582		JUN 2020										2022-09-28	WOS:000547267200001
J	Jordan, NR; Smith, BP; Appleby, RG; van Eeden, LM; Webster, HS				Jordan, Neil R.; Smith, Bradley P.; Appleby, Robert G.; van Eeden, Lily M.; Webster, Hugh S.			Addressing inequality and intolerance in human-wildlife coexistence	CONSERVATION BIOLOGY				Article									[Jordan, Neil R.] Univ New South Wales UNSW Sydney, Sch BEES, Ctr Ecosyst Sci, Sydney, NSW 2052, Australia; [Jordan, Neil R.] Taronga Western Plains Zoo, Taronga Conservat Soc Australia, Taronga Inst Sci & Learning, Dubbo, NSW 2830, Australia; [Jordan, Neil R.] Botswana Predator Conservat, Maun, Botswana; [Smith, Bradley P.] Cent Queensland Univ, Sch Hlth Med & Appl Sci, Smith Human Wildlife Coexistence Lab, Adelaide, Qld 5034, Australia; [Appleby, Robert G.] Griffith Univ, Environm Futures Res Inst, Nathan, Qld 4111, Australia; [van Eeden, Lily M.] Univ Sydney, Sch Life & Environm Sci, Desert Ecol Res Grp, Sydney, NSW 2006, Australia; [van Eeden, Lily M.] Univ Washington, Sch Forest & Environm Sci, Seattle, WA 98195 USA; [Webster, Hugh S.] Univ Sussex, Evolut Behav & Environm, Brighton BN1 9RH, E Sussex, England		Jordan, NR (corresponding author), Univ New South Wales UNSW Sydney, Sch BEES, Ctr Ecosyst Sci, Sydney, NSW 2052, Australia.; Jordan, NR (corresponding author), Taronga Western Plains Zoo, Taronga Conservat Soc Australia, Taronga Inst Sci & Learning, Dubbo, NSW 2830, Australia.; Jordan, NR (corresponding author), Botswana Predator Conservat, Maun, Botswana.	neil.jordan@unsw.edu.au								16	16											AUG	2020	34	4					803	810		10.1111/cobi.13471	http://dx.doi.org/10.1111/cobi.13471		MAY 2020										2022-09-28	WOS:000532540400001
J	Carter, NH; Baeza, A; Magliocca, NR				Carter, Neil H.; Baeza, Andres; Magliocca, Nicholas R.			Emergent conservation outcomes of shared risk perception in human-wildlife systems	CONSERVATION BIOLOGY				Article									[Carter, Neil H.] Univ Michigan, Sch Environm & Sustainabil, 440 Church St, Ann Arbor, MI 48109 USA; [Baeza, Andres] Arizona State Univ, Ctr Global Discovery & Conservat Sci, 1001 South McAllister Ave, Tempe, AZ 85287 USA; [Magliocca, Nicholas R.] Univ Alabama, Dept Geog, Farrah Hall 331A,Box 870322, Tuscaloosa, AL 35487 USA		Carter, NH (corresponding author), Univ Michigan, Sch Environm & Sustainabil, 440 Church St, Ann Arbor, MI 48109 USA.	nhcarter@umich.edu								8	8											AUG	2020	34	4					903	914		10.1111/cobi.13473	http://dx.doi.org/10.1111/cobi.13473		MAY 2020										2022-09-28	WOS:000532538400001
